,ID,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX,default_payment_next_month,LIMIT_BAL
0,27280,39,91300,0,0,0,0,0,2,1,0,0,-2,-2,-2,-2,0,0,0,0,0,0,1,0,100000
0,24514,40,97193,98441,95169,93718,89712,82809,1,1,0,0,0,0,0,0,6000,4000,4250,5000,3241,3500,1,0,290000
0,15312,37,-3,-3,2486,2500,580,490,3,2,1,-2,-1,-1,-1,-1,0,2489,2500,580,490,177,2,0,240000
0,13892,46,29254,26289,21751,20154,16784,17352,2,2,0,0,0,0,0,0,1737,1300,668,8000,1000,3100,1,0,50000
0,25337,27,44402,44977,46546,46033,48656,41674,1,2,0,0,0,0,0,0,2000,3000,2400,3023,5000,0,2,0,50000
0,25693,46,15219,26544,36301,45883,16789,6159,3,2,-1,-1,-1,-1,-1,-1,26796,36582,46112,16873,6190,22167,2,0,360000
0,2453,28,651,1883,651,2688,1000,2253,1,2,-1,-1,-1,-1,0,-1,1883,651,2688,20,2253,9816,2,0,180000
0,11464,59,29272,29096,22088,21624,21833,18174,3,1,0,0,0,0,0,0,1404,1268,694,866,695,838,1,0,30000
0,2302,30,2212,17402,32450,17285,9766,9981,1,1,-1,-1,0,0,0,0,17402,20013,346,5000,8000,5000,2,1,230000
0,15868,30,124206,124679,126200,130540,127114,111429,2,2,2,2,2,2,2,0,4000,5000,8000,0,5000,5000,2,1,110000
0,19859,34,19406,17791,11796,3089,4624,210,1,2,0,0,0,0,-1,-1,6000,1600,1000,4641,210,3523,2,0,420000
0,15732,42,2358,156,0,50510,2202,4533,1,1,-1,-1,-1,-1,0,-1,156,0,50510,0,5131,0,1,0,220000
0,26643,24,86724,91394,78767,74007,29480,27941,2,2,0,0,0,0,0,0,7016,3800,2406,595,570,67,1,0,90000
0,19729,32,6699,2999,4896,68,2761,2673,1,2,-1,-1,-1,-1,-1,-1,2999,4904,68,2761,2673,1861,2,0,170000
0,4120,47,10735,19147,4192,5947,5453,0,2,1,-1,-1,-1,-1,-1,-1,19269,4192,5966,5453,0,0,1,0,250000
0,27423,31,172012,167929,116189,192082,120077,92593,2,2,0,-1,0,0,0,0,168019,5000,6000,7125,5000,4500,1,0,170000
0,26697,24,4091,5316,6467,7500,7497,8170,2,2,0,0,0,0,0,0,1300,1400,1300,270,795,0,1,0,20000
0,14799,41,48729,19598,0,0,0,402,2,1,0,0,0,-2,-2,-1,1000,402,0,0,402,19603,1,0,50000
0,14627,45,650,264,264,264,654,654,2,1,-1,-1,-1,-1,-1,-1,264,264,264,1044,654,264,2,0,20000
0,24909,32,918,1144,3977,5365,789,1086,1,2,-2,-2,-2,-2,-2,-1,1146,3988,5381,791,1088,948,1,0,210000
0,15822,27,0,0,734,0,390,988,1,2,-2,-2,-2,-2,-2,-2,0,734,0,390,988,1990,2,0,130000
0,5801,50,0,-2008,-4016,4016,2008,8299,1,1,1,-2,-2,-1,0,-1,0,0,10040,0,8299,0,1,1,120000
0,9979,46,396,396,396,396,396,396,3,2,-1,-1,-1,-1,-1,-1,396,396,396,396,396,396,1,0,200000
0,7540,42,44380,968,990,390,390,3103,2,1,-1,-1,-1,-1,-2,-2,968,990,390,390,3103,0,2,0,360000
0,18249,50,59703,59837,48187,42658,40587,40605,3,1,0,0,0,0,0,0,2047,2168,1642,1563,1600,1486,1,0,60000
0,15980,40,49328,44045,42373,37088,75672,31645,3,1,0,0,0,0,0,0,2038,1994,1457,1205,1162,1131,2,0,100000
0,24785,35,0,4117,3370,5018,950,-3827,1,2,1,-1,2,-1,-1,-1,4117,0,5018,0,0,7654,1,1,80000
0,3733,43,21293,70962,9217,1845,41194,40325,2,1,-1,-1,-1,-1,-1,0,70973,9226,1845,41194,2920,1374,2,0,100000
0,1765,26,22415,21146,23647,22984,24315,23155,1,2,1,2,2,2,2,2,0,3500,0,2000,0,2000,2,0,130000
0,7789,49,2500,2500,2500,2500,2500,2500,1,1,2,2,2,2,2,2,0,0,0,0,0,0,1,1,200000
0,9527,28,11684,1127,1943,13312,-5,-5,1,2,-1,-1,-2,-1,-1,-2,1135,1952,13375,5,0,0,2,0,320000
0,4822,43,0,0,0,0,0,0,2,2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,84216,2,0,360000
0,14112,26,1389,722,179,10100,13285,5489,1,2,-1,-1,-1,-1,-1,-1,722,179,10100,13285,5489,0,2,0,50000
0,10889,26,129882,131991,134515,134141,137667,126127,1,2,0,0,0,0,0,0,6000,6000,3000,5000,5000,3000,2,0,210000
0,13952,34,126701,129388,130768,131858,125874,127988,3,1,1,2,2,2,2,0,6200,5000,4732,0,5000,5000,2,1,130000
0,27540,52,47594,48611,49063,16908,13112,2280,3,1,0,0,0,0,0,-1,2200,2343,1178,654,2280,390,1,1,50000
0,27162,40,39883,42349,44095,46502,47578,48959,3,1,0,0,0,0,0,0,3000,2600,3000,2000,2000,2000,1,0,300000
0,4650,25,39033,37002,21933,16137,16030,15373,2,2,0,0,2,0,0,0,6455,0,1500,3000,5000,5000,2,0,50000
0,1580,38,4100,7270,820,820,2870,970,2,1,-1,-1,-1,-1,-1,-1,7270,820,820,2870,970,820,2,0,120000
0,10756,42,11618,12641,13953,13924,14399,14610,2,1,0,0,0,0,0,0,1216,1528,499,700,600,541,2,0,50000
0,7018,38,19845,18245,17658,16576,13529,10387,2,2,0,0,0,0,0,0,1694,1368,547,504,347,6000,1,0,20000
0,7181,42,400,0,14583,2506,2996,370,1,1,-1,-1,-1,-1,-1,-1,0,14583,2513,2996,370,1986,2,0,300000
0,21403,26,6450,10744,0,0,0,239,3,2,0,0,0,-2,-2,-1,4500,0,0,0,239,3363,2,1,50000
0,7539,27,77111,81555,72868,55780,53523,54679,1,2,0,0,2,0,0,0,6384,0,2100,2100,2200,2200,1,0,80000
0,21799,25,26815,27990,29224,26692,18466,29824,2,2,0,0,0,0,0,0,2000,2000,1527,1600,1000,1000,2,0,30000
0,15534,34,7468,5023,618,605,3098,805,1,1,-2,-2,-2,-2,-2,-2,5048,621,608,3114,1003,2164,1,0,200000
0,29343,24,21788,22832,23473,22798,24420,23889,2,2,1,2,2,2,2,2,1700,1300,0,2000,0,2001,1,1,30000
0,20026,30,2429,3878,4957,6209,6338,6587,2,2,-1,0,0,0,0,0,1500,1300,1500,380,500,500,2,1,70000
0,22521,40,-531,2661,3871,1488,0,0,3,1,1,-1,2,2,2,-2,3383,2000,0,0,0,431,2,1,40000
0,2062,40,304702,307943,314201,319204,325758,319898,1,2,0,0,0,0,0,0,20000,12868,11721,12000,13000,11728,1,0,320000
0,26353,30,850,850,850,850,850,3688,2,2,-2,-2,-2,-2,-2,-1,850,850,850,850,4384,9480,2,1,300000
0,4701,45,106462,113728,98314,94552,92422,63022,1,1,2,2,2,0,0,0,10000,0,10000,3000,5000,4000,1,0,180000
0,1199,44,142836,145125,146682,150407,147868,149349,3,2,0,0,0,0,0,0,7000,5500,6027,5328,5390,6047,2,1,340000
0,23126,46,2359,2410,2151,2161,1719,107591,2,1,0,-1,-1,-1,-1,-1,2410,2151,2161,1719,107591,5000,2,1,110000
0,11773,30,1060,3229,4107,5931,4665,6607,1,2,-1,0,0,0,0,0,2200,1005,3208,2000,2000,49980,1,0,210000
0,15422,53,220389,223682,223193,215040,210884,210479,2,1,2,0,0,0,0,0,8490,8100,8000,7804,8254,6640,2,1,220000
0,20210,50,17891,19087,20078,20935,17228,17606,3,2,0,0,2,0,0,0,1800,1600,1600,1000,734,481,2,0,30000
0,17571,40,96225,99606,100704,208794,213025,217400,2,1,0,0,0,0,0,0,5000,2704,108794,5123,5255,5333,2,0,320000
0,3939,44,36048,37157,38040,33882,34589,35397,2,2,0,0,0,0,0,0,1688,1571,1213,1253,1381,1166,1,0,260000
0,23,26,41087,42445,45020,44006,46905,46012,2,2,2,0,0,2,2,2,2007,3582,0,3601,0,1820,2,1,70000
0,11600,57,53320,52754,27231,26852,27820,25529,2,1,0,0,-1,0,0,0,1300,50499,1000,1500,1500,1000,1,0,50000
0,26644,24,8295,9310,12130,11644,12250,11910,3,2,2,0,0,2,2,2,1160,2980,0,1100,0,1000,1,1,20000
0,13535,40,34582,25281,15264,12465,13262,13523,3,1,0,0,0,0,0,0,2000,2000,1000,1000,482,2000,1,0,50000
0,7099,47,85317,86865,88760,35671,36977,38931,2,1,0,0,0,0,0,0,3813,4013,1274,1878,3116,0,2,0,130000
0,21153,48,92806,91217,89757,136859,60276,48652,2,1,0,0,0,0,0,0,5000,4087,64142,2038,1763,2500,1,0,110000
0,5900,43,0,-416,-1248,832,416,1398,2,1,1,-2,-2,-1,0,-1,0,0,2080,0,1398,0,2,0,260000
0,27454,49,17371,17789,18209,18595,20323,19218,2,1,1,2,2,2,2,2,1000,1000,1000,2000,0,1000,1,1,50000
0,23196,48,3133,1473,9196,8518,8690,7472,2,2,1,2,-1,0,0,0,0,9196,1106,278,258,268,2,0,10000
0,23002,46,10372,-110,1684,3697,1397,0,1,1,1,-2,-1,-1,0,0,110,1794,3697,1392,0,0,2,0,50000
0,114,24,52128,52692,54477,56076,60100,59713,1,2,0,0,0,0,0,0,2000,2677,3076,5080,3000,2033,2,0,100000
0,17455,45,209495,213691,214177,192223,125412,113281,2,1,0,0,0,0,0,0,8000,10730,7100,4052,4000,3300,2,0,210000
0,10826,31,1575,4711,4956,6692,14418,25825,1,2,0,0,0,0,0,0,3651,1068,1977,9118,12625,122,1,0,150000
0,24177,30,35283,26000,9000,63853,59308,60576,2,1,0,0,0,-1,2,2,1500,1500,63853,1500,2062,0,1,0,110000
0,1548,23,30501,33113,33967,28115,27529,29896,2,2,0,0,0,0,2,0,3113,1421,4295,0,3000,896,2,0,50000
0,24564,44,175070,175494,175711,153130,153859,103593,2,2,0,0,0,0,0,0,8000,6018,6887,6000,4001,12000,1,0,250000
0,16567,29,11586,11103,13913,13393,18152,17725,2,2,1,2,2,2,2,2,0,3000,0,5000,0,3000,1,1,20000
0,9589,25,59366,49079,0,16638,18367,33081,5,1,-2,-2,-2,-1,0,0,15027,0,16638,2000,15081,0,1,0,80000
0,15385,48,41241,42548,44552,46503,48418,49277,2,1,0,0,0,0,0,0,1996,3000,3000,3000,1790,1965,2,0,140000
0,15056,39,132589,135286,139725,142605,149894,153054,1,1,0,0,0,0,0,2,4900,6600,6700,11200,5700,5900,1,1,200000
0,19377,38,2252,2265,24667,40626,9255,8659,4,2,-2,-2,-2,-2,-2,-2,2265,24905,40827,30844,8695,3532,2,0,500000
0,24855,49,29893,28289,24572,23448,21919,20756,2,2,0,0,0,0,0,0,1697,1505,1305,1000,1000,819,1,0,30000
0,24741,33,82535,84300,86091,83839,85552,88028,2,1,0,0,2,2,0,0,4000,4000,0,4000,4000,4000,1,1,160000
0,19468,43,223022,215787,220680,219459,177765,175238,3,2,0,0,0,0,0,0,7750,8397,7349,6518,7000,7000,2,0,220000
0,20469,26,29021,28408,29117,28764,28390,29443,1,2,0,0,0,0,0,0,1768,1477,1444,1100,1500,1100,1,0,50000
0,14065,38,3388,-12,1081,1884,2089,7097,1,2,-2,-2,-2,-2,-2,-2,0,1093,1893,2097,7132,488,1,1,200000
0,29362,28,186,186,3550,653,14353,15932,3,2,-1,2,-1,-1,-1,0,0,3567,654,14428,15018,20000,1,0,310000
0,6390,40,8286,9395,10000,10000,0,0,3,0,0,0,0,0,0,-2,1400,1000,0,0,0,0,1,0,10000
0,20915,32,50805,51088,50810,50814,50927,50438,2,1,0,0,0,0,0,0,2284,2006,2010,2123,2138,2442,1,1,50000
0,3246,26,13660,14708,17725,20320,19480,19222,2,2,2,0,0,0,2,2,1269,3286,2881,1,632,1,1,0,30000
0,16299,42,26504,28056,27987,1812,0,0,2,2,0,0,0,-1,-1,-2,2000,2000,2000,0,0,0,2,0,30000
0,2744,27,9314,6020,4817,2098,2280,4778,1,2,0,0,0,0,0,0,2020,2817,1098,1280,3778,3098,2,0,200000
0,10383,30,15069,0,14129,28246,9995,198,1,2,-1,-1,-1,0,0,-1,680,14129,16000,5000,198,14952,2,0,220000
0,13608,31,180891,165412,108223,108860,80757,79073,1,2,0,0,0,0,0,0,8250,5500,5000,3500,3000,4000,2,0,260000
0,12687,28,103203,108032,109741,112907,115924,118832,2,2,0,0,0,0,0,0,6500,5000,5000,5000,5000,5000,2,0,180000
0,27813,28,1506,89,89,0,356,16213,2,2,0,-1,2,2,-1,-1,89,0,0,356,16213,0,2,1,100000
0,5679,40,40548,41597,42405,43498,44596,45700,2,1,0,0,0,0,0,0,2000,1800,1800,1800,2000,1800,2,0,150000
0,5582,41,9146,10906,4614,28790,4418,10676,1,1,-1,-1,-1,-1,-1,-1,10957,4614,28796,4418,10676,0,1,0,250000
0,660,28,427,298,1179,1714,2875,1047,2,2,-1,2,-1,-1,0,-1,0,1179,1714,1290,1047,1000,2,0,280000
0,19718,35,5716,0,105082,105908,98380,93649,3,2,0,0,-1,0,0,0,0,105082,4172,3408,3489,5295,2,0,280000
0,25369,28,0,0,0,0,0,-2000,1,2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,2000,2,0,50000
0,4975,26,56956,58756,59945,60751,62120,63315,2,2,2,0,0,0,0,0,2716,2761,2400,2500,2400,1860,2,0,150000
0,7340,35,67591,69773,71886,76767,78462,79890,3,1,2,0,0,0,2,2,3200,3200,6000,3000,2800,3200,1,1,110000
0,6729,25,59817,47872,38605,28184,28862,29161,3,2,0,0,0,0,0,0,3000,2000,1500,1500,1300,2000,1,0,60000
0,893,32,28408,25695,11553,2350,0,0,2,1,0,0,0,0,0,-2,1259,1035,1600,0,0,0,2,0,80000
0,9339,25,22399,25859,26540,13842,16299,18547,1,2,0,0,0,0,0,0,5000,1500,499,3000,3000,3000,2,0,30000
0,4004,25,81129,72699,39909,18334,7382,19801,3,2,0,0,2,0,0,-1,7504,29,10004,6,19824,18129,1,0,120000
0,12894,39,147440,137938,131816,120761,120375,120897,2,1,0,0,0,0,0,0,5009,6125,4001,4013,5000,4015,2,0,320000
0,11385,28,17868,18028,38126,18690,19082,19505,2,2,0,0,0,0,0,0,1711,20809,668,692,740,632,1,0,50000
0,22320,27,0,0,0,0,0,0,4,2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,2,0,200000
0,6981,35,44552,45831,46870,48089,49311,50296,2,1,0,0,0,0,0,0,2000,1800,2000,2000,1803,2000,2,0,210000
0,3254,47,4759,4540,4284,2946,1473,1473,3,1,1,3,2,0,0,-1,0,0,0,0,1473,1473,1,1,50000
0,8992,39,38986,34931,33890,2065,5215,3745,2,1,1,2,0,-1,-1,-1,6,1000,2065,5215,3745,1390,2,1,80000
0,27334,42,53113,57376,57876,56309,58359,109312,2,2,0,0,2,2,0,0,5150,2000,0,2800,54000,0,1,0,110000
0,21282,50,110406,109550,109921,67212,49120,49772,2,1,0,0,0,0,0,0,4600,3348,2444,3869,1808,1751,1,0,110000
0,21447,24,0,1516,500,0,0,1500,1,2,1,-1,-1,-1,-2,-1,1516,500,0,0,1500,0,2,0,20000
0,21729,25,24885,26196,25476,22394,17907,1739,3,1,0,0,0,0,0,-1,1740,2000,1209,1120,1739,35,2,0,130000
0,4877,33,184406,169795,154733,138071,126242,123449,2,1,0,0,0,0,0,2,7400,6700,4700,7800,0,117880,2,0,110000
0,20765,46,17483,18552,19442,14678,16791,10361,2,1,0,0,0,0,0,0,1363,1256,1178,311,2264,0,1,1,20000
0,15256,33,1305,-789,-789,1042,1042,0,2,2,-1,-1,-2,-1,0,0,0,0,2000,0,0,193,2,0,80000
0,24731,37,206430,210029,214868,218593,159789,163454,1,1,1,2,0,0,0,0,8300,9500,9000,5500,6000,13000,1,0,250000
0,18297,31,15903,15350,16438,17250,17601,17982,3,1,1,2,0,0,0,0,0,1343,1155,506,538,600,2,1,20000
0,11062,45,31218,32321,41713,42233,43288,46001,2,1,0,0,0,0,0,0,1608,10000,1511,1735,3600,0,1,1,70000
0,17891,28,56061,57179,58450,58556,51671,51090,1,2,0,0,0,0,0,0,2051,2197,1934,1793,2500,2000,1,0,170000
0,17168,27,18641,21870,2173,-9,-9,3617,1,2,0,0,2,2,-2,-1,6630,10,0,0,3626,2511,2,0,280000
0,7071,40,28054,31201,31594,30787,34513,34995,1,1,0,0,2,2,2,2,3600,1200,0,4246,1200,1500,1,1,80000
0,10437,29,85465,95546,93000,93526,66726,42668,2,2,0,0,2,0,0,0,11508,0,2340,1850,4000,0,2,0,180000
0,15818,27,114556,116155,120264,124203,125702,128734,2,1,0,0,0,0,0,0,5000,6000,6000,5000,5000,10000,2,0,180000
0,15144,42,768,42863,2632,11767,4684,3685,1,2,-2,-2,-2,-2,-2,-2,42863,2632,11780,4684,3685,4352,2,0,290000
0,20391,25,302,-62,1958,-101,15932,950,2,2,-2,-2,-2,-2,-2,-2,0,2020,0,16033,11220,0,1,0,80000
0,8969,23,4753,5843,6720,8171,7127,9044,2,2,0,0,0,0,0,0,1172,1049,1500,500,2000,3000,2,0,70000
0,28980,35,55337,53851,53710,48797,49928,51106,1,2,2,2,0,0,0,0,0,2503,2000,1804,2000,2000,2,1,150000
0,8951,30,51672,31250,29178,29180,52550,43538,1,1,-2,-2,-2,-2,-2,-2,13113,12110,15044,32244,40218,112406,1,0,350000
0,7534,41,0,3813,1298,500,2398,0,1,2,-2,-2,-2,-2,-2,-2,3813,1298,500,2398,0,1902,2,0,350000
0,17012,23,72306,70543,63061,61520,63080,2900,2,2,1,2,0,0,0,-1,4,2407,2041,2387,2905,72697,2,0,70000
0,27870,26,69754,71377,71225,64644,68427,69893,1,2,0,0,0,0,0,0,2791,2939,2364,4876,2557,3599,2,0,70000
0,28222,30,943,5664,-33,6454,842,8031,1,2,1,-2,-2,-1,-1,-1,5692,0,6487,842,8111,7029,2,0,500000
0,26940,28,82735,90847,74122,72363,68703,66710,1,2,0,0,0,0,0,0,10000,6000,4000,5000,6000,3000,1,0,410000
0,1193,34,381,3376,2958,4154,5885,3129,2,2,-1,-1,-1,-1,-1,-1,3406,2983,4172,5912,3143,0,2,1,270000
0,11894,54,22136,23165,24178,24659,25175,25832,3,2,0,0,0,0,0,0,1388,1401,882,913,1075,782,2,0,50000
0,53,49,13465,7867,7600,11185,3544,464,2,1,-2,-2,-2,-2,-2,-2,7875,7600,11185,3544,464,0,2,0,310000
0,7937,29,0,0,0,10232,9677,0,1,2,-2,-2,-2,-1,0,0,0,0,10232,194,0,0,2,0,170000
0,987,33,134736,135593,120909,102524,40157,40805,2,1,-2,-2,-2,-1,-1,0,6067,10000,3000,40157,1466,2000,2,0,260000
0,11445,27,17304,0,26373,26644,26079,27941,2,2,0,0,-1,2,2,2,0,26373,1000,0,2300,1200,2,0,20000
0,3305,29,36106,33494,29518,29569,28587,21201,2,2,0,0,0,0,0,0,3000,3000,6000,5000,1136,10000,2,1,220000
0,2747,34,76142,80627,76776,61884,55501,54840,2,1,2,2,2,0,0,0,6611,1,3000,2504,2000,2200,2,1,80000
0,8401,32,50332,52644,54905,58133,60197,59226,2,2,2,0,0,0,2,2,3000,3000,4000,3000,0,4300,2,0,100000
0,10324,24,9958,12140,11653,11762,12418,13108,1,2,1,2,2,0,0,0,2500,0,600,1000,900,1000,2,0,40000
0,9521,39,157,-1049,-2681,1975,2244,3294,3,1,-1,-1,-2,-1,-1,-1,0,0,6475,2244,2284,0,2,0,190000
0,12120,22,11087,11712,11164,11395,11927,9186,1,2,1,2,2,0,0,2,1100,0,289,594,0,50,2,0,20000
0,18320,29,78626,78262,80000,82025,78521,78947,2,2,0,0,0,0,0,0,3400,3600,4000,3500,3000,4000,2,0,80000
0,12234,31,54835,46575,7169,9036,8749,9447,2,1,0,0,0,0,2,0,3500,2000,2000,0,1000,500,1,0,160000
0,22473,39,117868,114483,118855,125357,121853,124731,2,1,3,2,2,2,2,0,0,6216,10000,0,5000,4552,2,1,200000
0,23631,44,168179,159008,157164,155109,153033,156636,2,2,2,2,0,0,0,0,0,5684,5538,5410,11000,0,2,1,150000
0,17209,28,38612,37509,15377,12590,11209,7448,2,1,1,2,2,2,0,0,0,5000,0,3023,5000,4000,2,0,50000
0,8946,24,17895,19598,19701,3486,199,0,3,2,0,0,0,0,-1,-1,2000,1000,400,199,0,0,1,0,20000
0,13863,26,390,390,5248,4167,780,467,2,2,-1,-1,-1,0,-1,-1,390,5248,5,780,467,3513,2,0,180000
0,10322,26,16237,15692,17120,17836,18396,18935,2,2,1,2,0,0,0,0,0,2000,1000,1000,1000,1000,2,0,170000
0,1940,30,38921,45577,46496,40244,39903,8629,1,1,0,0,0,0,0,0,12000,5000,3000,10000,1000,1838,1,0,90000
0,3655,37,43311,16348,9360,6295,14844,29065,2,1,0,0,-1,-1,0,0,5377,9383,6295,10018,21939,5002,1,0,80000
0,29599,39,71059,71998,71229,70747,68154,69815,2,1,0,0,0,0,0,0,5000,4792,3000,3019,8010,7000,1,1,70000
0,22326,24,27276,26937,26679,27779,28691,29726,3,2,0,0,0,0,0,0,2000,2500,2000,2000,2000,2000,2,1,30000
0,25418,27,4850,42189,83754,120927,105303,82475,1,2,-1,-1,-1,-1,0,0,42198,83754,120927,0,716,25213,2,0,300000
